id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
4421,9186,Robotron X,NULL,1996-11-30 00:00:00.000,NULL,NULL,100.0000,1,NULL,NULL
5153,20921,Interwebs Troll Simulator,NULL,NULL,NULL,NULL,100.0000,1,NULL,NULL
5656,163826,Blake: The Visual Novel,"In the perpetually rainy city of New Stone, Blake, your average office worker, finds his world turned upside down when a series of incriminating events cause him to question what to do and who he should become.",2021-08-31 00:00:00.000,NULL,NULL,100.0000,1,NULL,NULL
9634,80348,MapleStory 2,NULL,2015-07-07 00:00:00.000,3,1,100.0000,2,53.1588,14
10642,21639,Challenge Me: Math Workout,NULL,NULL,NULL,NULL,100.0000,2,NULL,NULL
12006,21896,GTDUPEA V Remastered,NULL,NULL,1,1,100.0000,0,NULL,NULL
24752,11013,Trainz Railroad Simulator 2004,NULL,2003-12-31 00:00:00.000,NULL,NULL,100.0000,1,NULL,NULL
29370,24250,SuperPower 2,NULL,2004-10-11 00:00:00.000,NULL,NULL,100.0000,1,NULL,NULL
31007,19942,Stephen's Sausage Roll,NULL,2016-04-18 00:00:00.000,6,NULL,100.0000,3,87.4109,12
32520,23809,Motor City Online,NULL,2001-10-29 00:00:00.000,NULL,NULL,100.0000,1,NULL,NULL
40140,5024,The Munchables,NULL,2009-05-27 00:00:00.000,1,NULL,100.0000,4,NULL,NULL
44181,23743,Journey to Wild Divine,NULL,NULL,NULL,NULL,100.0000,1,NULL,NULL
46282,145439,Escape Simulator,"Labyrinth of Egypt ""You and your mentor discovered the ancient Labyrinth of Egypt. By accident, he activated a trap, and you got separated, with no way out in sight.""  Adrift in Space ""An explosion wakes you up. Your spaceship has been hit by debris, and you're heading straight into the sun.""  Edgewood Mansion ""You were invited to attend a special dinner at Dr. Edgewood's mansion. Instead of eating food, you'll be solving a victorian mystery.""  The Corporation ""You come for a job interview at the mysterious Omega A.I. Corp. You find the HQ empty and get trapped by the security system.""",2021-10-19 00:00:00.000,NULL,NULL,100.0000,1,NULL,NULL
50520,23227,After Burner II 3D,NULL,NULL,NULL,NULL,100.0000,1,NULL,NULL
56178,4933,Indianapolis 500 Legends,NULL,2007-12-18 00:00:00.000,NULL,NULL,100.0000,3,NULL,NULL
57601,12479,Starquake,NULL,1985-12-31 00:00:00.000,NULL,NULL,100.0000,1,NULL,NULL
60667,999,Oddworld: Abe's Oddysee,"Abe is a Mudokon, a member of a once prosperous race which has now been enslaved by the Glukkons, forced to work in their huge corporations. The food factories have found a new type of meat, delicious to all the inhabitants, though no one knows the recipe. Following his stomach, Abe eavesdrops on the corporate leaders' conversation, and makes the most frightening and disgusting discovery: his own race is that secret delicious food. Alas, Abe has been spotted, and the guards are marching towards him. He must escape, but he can't leave his friends to the mercy of the Glukkons and their henchmen. He must rescue as many as he can, and tell the world the truth about what he has found out.",1997-09-19 00:00:00.000,64,NULL,100.0000,1,82.5936,165
67253,23746,EverQuest: Evolution,NULL,NULL,NULL,NULL,100.0000,1,NULL,NULL
70302,23230,Playworld Superheroes,NULL,NULL,NULL,NULL,100.0000,1,NULL,NULL
72651,13271,3D Starstrike,NULL,1984-12-31 00:00:00.000,NULL,NULL,100.0000,1,NULL,NULL
