id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count,id,game_id,genre_name
12,126622,Long Count,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,126622,Adventure
15,155915,Freus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,155915,Adventure
25,154564,Cascadia Quest,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,154564,Adventure
30,107721,The Vrennman Case,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,107721,Adventure
31,182726,Maze: The Ritual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,182726,Adventure
34,141337,Diary of Lucie,"Go on an adventure looking for the scattered diary pages.  The more you read the diary, the deeper you fall asleep.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,141337,Adventure
58,96518,Monster Truck Drive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,96518,Adventure
61,75283,Apex Construct,"Travel to the shattered future of Apex Construct, where merciless robots prowl the world as a result of mankind’s reckless experiments. As these synthetic creatures seek to dominate their new hunting grounds, you must use both your wits and combat skills to survive. In this atmospheric first-person Action/Adventure game, built exclusively for VR, the fate of mankind rests on you – the last human alive.",2018-02-20 00:00:00.000,3,1,59.3333,3,NULL,NULL,60,75283,Adventure
87,102195,NYKRA,NULL,2021-09-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,74,102195,Adventure
92,52291,Bildo,NULL,2017-07-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,80,52291,Adventure
94,111122,Edge,NULL,2018-11-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,83,111122,Adventure
98,108071,Soul Rebellion,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87,108071,Adventure
104,145096,Pokémon Blaze Online,NULL,2021-03-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,95,145096,Adventure
108,984,Tom Clancy's H.A.W.X 2,"You will do so by mastering every nuance of the world’s finest combat aircraft. You will slip into enemy territory undetected, deliver a crippling blow and escape before he can summon a response. You will use your superior technology to decimate the enemy from afar, then draw him in close for a pulse-pounding dogfight. And you will use your steel nerve to successfully execute night raids, aerial refuelings and more.  You will do all this with professionalism, skill and consummate lethality. Because you are a member of H.A.W.X. 2. And you are one of the finest military aviators the world has ever known.",2010-09-03 00:00:00.000,3,NULL,52.1667,9,60.2152,13,97,984,Adventure
116,151524,Loop Knight,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108,151524,Adventure
120,141707,Gondola's Adventure,"Gondola takes on a quest to bring medical herbs to fairies who reside in the Queen's Castle in the Sky. As such, Gondola descends into an abandoned mine to find the herbs. After finding the herbs, the real challenge begins as Gondola has to climb from the depths of the earth to the skies.",2021-02-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,114,141707,Adventure
127,5514,Mystery Case Files: Dire Grove,"This story takes place directly after the events in Mystery Case Files: Return to Ravenhearst. The player is driving through a decrepit town called Dire Grove, which appears to be deserted. The weather forecast has predicted a heavy snowstorm and the player has no other option but to explore the deserted town for shelter. The player sees an abandoned car and finds a camcorder in it. The footage shows a teenaged girl crying and pleading the player to save them. The player also finds a cryptic note: ""She is real. The legend is real."". As the player explores the surrounding, they realize that all the villagers have evacuated due to the snowstorm, so the player has to do everything by themself. The player learns that the girl in the footage is Alison Sterling, a collegiate who has chosen the Celtic legend of the Banshee as a subject for research. She arrived here with 3 friends and all four of them are missing. The player also learns that Dr. Patricia Anderson, an archaeologist had unearthed some relics only some days ago. The player eventually learns about the legend of the Banshee. Apparently a farmer, a fisherman, a hunter and a blacksmith performed a ritual 1000 years ago to open a portal to talk to their kin in the spirit world. When the dead started attacking the living, they offered a young woman to appease the ghosts and close the portal. This woman became the Banshee and is trying to come back. The player also find that all the students have been subdued and hypnotized by the Banshee. Dr. Anderson's recording proves that the relics unearthed by her are maybe the keys to the portal. The player is left with only one option: open the portal and send the Banshee back to the spirit world. Only after opening the portal the player realizes that the Banshee has tricked them into freeing her spirit. The player races against time, trapping the Banshee's spirit again and saved the students. In the end, Alison gives a lecture about the events at Dire Grove, where she is given by a big applause by a huge number of audience, including her friends. An audience member asks her about your identity, but she says: ""That person has asked to remain nameless, but I can give you their business card."" She flashes a card, and a Mystery Case Files logo is seen and the credits start rolling.",2009-11-25 00:00:00.000,3,NULL,NULL,NULL,93.0667,8,122,5514,Adventure
133,46420,Heart of the Alien: Out of this World Parts I And II,Enter the award-winning sci fi universe of Out of This World. A cool blue world where the past and future coexist. Where electric torture chambers are manned by primitive humanoids. And the merciful turn merciless just to survive. Imagine an alien prison. Where every passage you enter is one you may never exit. Every creature lives to try and take your life. And the further you run the closer you get to the sadist they call The Warden.,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,124,46420,Adventure
136,128002,Walk With Me,NULL,2017-05-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,127,128002,Adventure
138,176212,Blond Escape,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,129,176212,Adventure
140,183321,T-Shrek,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,133,183321,Adventure
151,127841,Joan of Arc: The Beginning,NULL,2021-11-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,138,127841,Adventure
155,182733,Monster Girls: the Advent,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,141,182733,Adventure
157,153871,Blimby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,143,153871,Adventure
163,152902,Last Contingency,NULL,2020-11-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,146,152902,Adventure
175,28323,Mega Man Legacy Collection 2,NULL,2017-08-08 00:00:00.000,7,NULL,71.4000,11,95.1374,9,162,28323,Adventure
182,23243,Death in the Caribbean,NULL,1983-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,166,23243,Adventure
184,131767,Mya of the Desert,"Embark on a journey to restore life to a world plagued by entropy. Traverse the landscape as Mya, a desert wanderer, in order to return the spirits of the Geomancers to their sacred mosaic. Gifted with the power of the Geomancers by the mosaic’s guardian spirit, Mya will elevate pillars of earth and bend rocks to her will to overcome the obstacles of the desert, solve the puzzles within the Geomancers’ abandoned temples, and overcome the Golem that’s been awoken by the decaying mosaic!",2020-03-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,171,131767,Adventure
195,165521,Breakage,NULL,2013-12-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,181,165521,Adventure
205,16141,Gargoyle's Quest II,NULL,1992-07-17 00:00:00.000,NULL,NULL,NULL,NULL,69.5651,6,190,16141,Adventure
209,163969,Kaigrad,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,195,163969,Adventure
211,157303,Torchway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,197,157303,Adventure
214,103642,ALIENS INVADED OUR PLANET,NULL,NULL,NULL,NULL,NULL,NULL,50.0000,0,202,103642,Adventure
218,45016,Iznogoud,NULL,1998-07-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,206,45016,Adventure
220,64856,Dancing Blade Katteni Momotenshi!,NULL,1998-08-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,207,64856,Adventure
